s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count
1e9,"POLYGON ((22.61986494804043 -32.39984017391932, 28.67314648943499 -31.09807140426155, 28.67314648943499 -25.63226655107013, 22.61986494804042 -26.7849955075022, 22.61986494804043 -32.39984017391932))",0.821,0.839,0.853,4166236,2682153,1601012,14225470
1a1,"POLYGON ((16.53483785734516 -4.851647556935838, 22.61986494804043 -4.67244275538945, 22.61986494804042 0, 16.53483785734516 0, 16.53483785734516 -4.851647556935838))",0.600,0.644,0.690,1696298,1514548,1289634,1696486
1bb,"POLYGON ((10.61965527615513 -16.26672649011948, 16.53483785734515 -15.88626236166589, 16.53483785734515 -10.18989264617986, 10.61965527615513 -10.44179817172576, 10.61965527615513 -16.26672649011948))",0.732,0.759,0.797,3561149,2879165,1784077,5900364
15d,"POLYGON ((34.5085229876684 18.9499500044539, 39.98123465891889 17.70687285471333, 39.98123465891889 22.73590953009369, 34.5085229876684 24.25860976441469, 34.5085229876684 18.9499500044539))",0.803,0.825,0.841,207819,128851,80393,704784
197,"POLYGON ((22.61986494804043 -15.32501998539171, 28.67314648943499 -14.59941342503042, 28.67314648943499 -9.341889685888818, 22.61986494804043 -9.8193006387579, 22.61986494804043 -15.32501998539171))",0.728,0.762,0.799,3264436,2632917,1751491,4817275
16b,"POLYGON ((22.61986494804043 15.32501998539171, 28.67314648943499 14.59941342503042, 28.67314648943499 20.08096213071963, 22.61986494804042 21.03751102542181, 22.61986494804043 15.32501998539171))",0.716,0.716,1.000,8359,8359,0,23125
181,"POLYGON ((39.98123465891889 -3.881312186924027, 45 -3.582521766172679, 45 0, 39.98123465891889 0, 39.98123465891889 -3.881312186924027))",0.676,0.707,0.765,265892,238882,173357,321976
143,"POLYGON ((28.67314648943499 20.08096213071963, 34.5085229876684 18.9499500044539, 34.5085229876684 24.25860976441469, 28.67314648943499 25.63226655107013, 28.67314648943499 20.08096213071963))",0.792,0.816,0.834,177464,96025,51915,1202461
141,"POLYGON ((22.61986494804042 21.03751102542181, 28.67314648943499 20.08096213071963, 28.67314648943499 25.63226655107013, 22.61986494804042 26.7849955075022, 22.61986494804042 21.03751102542181))",0.690,0.690,0.690,14383,14383,14383,44063
0e7,"POLYGON ((-10.61965527615513 16.26672649011948, -5.059868846264116 16.47390220016713, -5.059868846264117 22.54054940194471, -10.61965527615513 22.27057548800819, -10.61965527615513 16.26672649011948))",0.659,0.696,0.781,172080,153486,107563,205692
1c3,"POLYGON ((16.53483785734516 -33.38766721236327, 22.61986494804043 -32.39984017391932, 22.61986494804042 -26.7849955075022, 16.53483785734515 -27.66622518241585, 16.53483785734516 -33.38766721236327))",0.790,0.797,0.818,302366,276416,199517,877975
18b,"POLYGON ((39.98123465891889 -17.70687285471333, 45 -16.41644037358546, 45 -11.85551661629703, 39.98123465891889 -12.81566331979315, 39.98123465891889 -17.70687285471333))",0.657,0.689,0.764,828661,758561,548291,940301
0df,"POLYGON ((-5.059868846264117 22.54054940194471, 0 22.61986494804042, 0 28.67314648943499, -5.059868846264117 28.57906855098932, -5.059868846264117 22.54054940194471))",0.791,0.808,0.824,49662,34153,21707,262551
221,"POLYGON ((45 -16.41644037358546, 50.01876534108111 -17.70687285471333, 50.01876534108111 -12.81566331979315, 45 -11.85551661629703, 45 -16.41644037358546))",0.689,0.722,0.755,2237029,1909137,1496363,2910694
0d9,"POLYGON ((-5.059868846264117 28.57906855098932, 0 28.67314648943499, 0 34.5085229876684, -5.059868846264117 34.40415724063815, -5.059868846264117 28.57906855098932))",0.786,0.819,0.831,91880,42326,28529,488246
